SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,S,F.ult,(Tb.F/TF)dist,(Tb.F/TF)prox,E.app,Tb.VM,C.VM,TB.ES,C.ES,Problem_nr,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
pilot 1370_femurspine,10783,31727,9/3/2024 10:25,9/23/2024 14:11,V0031558,,,,Custom,E2_Imax,300,B31727,Spine ex-vivo,0.8,1,200,6,6553,26078.2,-80.3811,1,1,9032.5459,94.438,0,0.0135,0,33,0.0105,0.0105,0.0105,152,210,48,938,934,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031727],,DK0:[MICROCT.DATA.00010783.00031727],,5071
pilot 1371_femurspine,10784,31730,9/3/2024 11:30,9/23/2024 14:13,V0031561,,,,Custom,E2_Imax,300,B31730,Spine ex-vivo,0.8,1,200,6,6553,21753.3,-67.158,1,1,9322.5938,94.8352,0,0.0135,0,33,0.0105,0.0105,0.0105,143,173,48,767,908,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031730],,DK0:[MICROCT.DATA.00010784.00031730],,5071
pilot 1372_femurspine,10785,31733,9/3/2024 12:36,9/23/2024 14:13,V0031564,,,,Custom,E2_Imax,300,B31733,Spine ex-vivo,0.8,1,200,6,6553,23627,-72.9525,1,1,9305.6572,94.7231,0,0.0134,0,33,0.0105,0.0105,0.0105,162,150,48,725,967,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031733],,DK0:[MICROCT.DATA.00010785.00031733],,5071
pilot 1373_femurspine,10786,31736,9/3/2024 13:52,9/23/2024 14:16,V0031567,,,,Custom,E2_Imax,300,B31736,Spine ex-vivo,0.8,1,200,6,6553,22413.3,-67.805,1,1,9325.4258,94.5603,0,0.0133,0,33,0.0105,0.0105,0.0105,137,151,48,856,1018,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031736],,DK0:[MICROCT.DATA.00010786.00031736],,5071
pilot 1420_femur spine,10791,31887,9/26/2024 8:06,10/2/2024 10:35,V0031718,,,,Custom,E2_Imax,300,B31887,Spine ex-vivo,0.8,1,200,6,6553,10681.8,-29.7377,1,1,3247.1636,80.3263,0,0.013,0,33,0.0105,0.0105,0.0105,142,182,49,717,997,2,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031887],,DK0:[MICROCT.DATA.00010791.00031887],,5071
pilot 1421_Femur Spine,10792,31890,9/26/2024 9:57,10/2/2024 10:35,V0031721,,,,Custom,E2_Imax,300,B31890,Spine ex-vivo,0.8,1,200,6,6553,13990.5,-39.3057,1,1,3756.3669,80.7919,0,0.0131,0,33,0.0105,0.0105,0.0105,166,171,49,752,1069,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031890],,DK0:[MICROCT.DATA.00010792.00031890],,5071
pilot 1422_Femur Spine,10793,31893,9/26/2024 11:34,10/2/2024 10:38,V0031724,,,,Custom,E2_Imax,300,B31893,Spine ex-vivo,0.8,1,200,6,6553,12853.7,-35.622,1,1,3591.0579,80.9593,0,0.0134,0,33,0.0105,0.0105,0.0105,171,154,49,827,1086,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031893],,DK0:[MICROCT.DATA.00010793.00031893],,5071
pilot 1420_femur spine,10791,31886,9/26/2024 7:48,10/2/2024 11:05,V0031717,,,,Custom,E2_Imax,300,B31886,Spine ex-vivo,0.8,1,200,6,6553,21227.4,-61.6466,1,1,4854.8452,85.5176,0,0.0128,0,33,0.0105,0.0105,0.0105,171,265,49,804,825,131,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031886],,DK0:[MICROCT.DATA.00010791.00031886],,5071
pilot 1421_Femur Spine,10792,31889,9/26/2024 9:39,10/2/2024 11:06,V0031720,,,,Custom,E2_Imax,300,B31889,Spine ex-vivo,0.8,1,200,6,6553,28554.9,-83.4529,1,1,5248.853,85.6056,0,0.0132,0,33,0.0105,0.0105,0.0105,163,268,49,961,897,151,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031889],,DK0:[MICROCT.DATA.00010792.00031889],,5071
pilot 1420_femur spine,10791,31888,9/26/2024 8:25,10/2/2024 11:09,V0031719,,,,Custom,E2_Imax,300,B31888,Spine ex-vivo,0.8,1,200,6,6553,25780.9,-77.7468,1,1,8904.6143,93.7459,0,0.0135,0,33,0.0105,0.0105,0.0105,150,196,48,865,969,2,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031888],,DK0:[MICROCT.DATA.00010791.00031888],,5071
pilot 1422_Femur Spine,10793,31892,9/26/2024 11:16,10/2/2024 11:11,V0031723,,,,Custom,E2_Imax,300,B31892,Spine ex-vivo,0.8,1,200,6,6553,22562.8,-67.0997,1,1,5591.7207,89.0261,0,0.0132,0,33,0.0105,0.0105,0.0105,261,155,49,724,1090,151,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031892],,DK0:[MICROCT.DATA.00010793.00031892],,5071
pilot 1421_Femur Spine,10792,31891,9/26/2024 10:16,10/2/2024 11:11,V0031722,,,,Custom,E2_Imax,300,B31891,Spine ex-vivo,0.8,1,200,6,6553,28087.6,-86.8645,1,1,9529.0869,94.5063,0,0.0135,0,33,0.0105,0.0105,0.0105,147,191,48,947,863,2,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031891],,DK0:[MICROCT.DATA.00010792.00031891],,5071
pilot 1422_Femur Spine,10793,31894,9/26/2024 11:53,10/2/2024 11:14,V0031725,,,,Custom,E2_Imax,300,B31894,Spine ex-vivo,0.8,1,200,6,6553,25809.4,-79.7716,1,1,9304.9775,94.6262,0,0.0135,0,33,0.0105,0.0105,0.0105,208,142,48,816,1062,2,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031894],,DK0:[MICROCT.DATA.00010793.00031894],,5071
